Holiday,Temperature,Rain_1h,Snow_1h,Clouds_All,Weather_Main,Weather_Description,Date_Time,Traffic_Volume,Month,Day,Year,Hour
None,59.23,0.0,0.0,40,Clouds,scattered clouds,10/02/2012 09:00,5545,10,2,2012,9
None,61.18,0.0,0.0,75,Clouds,broken clouds,10/02/2012 10:00,4516,10,2,2012,10
None,61.57,0.0,0.0,90,Clouds,overcast clouds,10/02/2012 11:00,4767,10,2,2012,11
None,62.56,0.0,0.0,90,Clouds,overcast clouds,10/02/2012 12:00,5026,10,2,2012,12
None,64.38,0.0,0.0,75,Clouds,broken clouds,10/02/2012 13:00,4918,10,2,2012,13
None,65.43,0.0,0.0,1,Clear,sky is clear,10/02/2012 14:00,5181,10,2,2012,14
None,68.04,0.0,0.0,1,Clear,sky is clear,10/02/2012 15:00,5584,10,2,2012,15
None,69.28,0.0,0.0,1,Clear,sky is clear,10/02/2012 16:00,6015,10,2,2012,16
None,69.78,0.0,0.0,20,Clouds,few clouds,10/02/2012 17:00,5791,10,2,2012,17
None,67.91,0.0,0.0,20,Clouds,few clouds,10/02/2012 18:00,4770,10,2,2012,18
None,64.08,0.0,0.0,20,Clouds,few clouds,10/02/2012 19:00,3539,10,2,2012,19
None,61.21,0.0,0.0,1,Clear,sky is clear,10/02/2012 20:00,2784,10,2,2012,20
None,59.83,0.0,0.0,1,Clear,sky is clear,10/02/2012 21:00,2361,10,2,2012,21
None,57.22,0.0,0.0,1,Clear,sky is clear,10/02/2012 22:00,1529,10,2,2012,22
None,54.14,0.0,0.0,1,Clear,sky is clear,10/02/2012 23:00,963,10,2,2012,23
None,52.66,0.0,0.0,1,Clear,sky is clear,10/03/2012 00:00,506,10,3,2012,0
None,50.58,0.0,0.0,1,Clear,sky is clear,10/03/2012 01:00,321,10,3,2012,1
None,46.45,0.0,0.0,1,Clear,sky is clear,10/03/2012 02:00,273,10,3,2012,2
None,46.29,0.0,0.0,1,Clear,sky is clear,10/03/2012 03:00,367,10,3,2012,3
None,43.48,0.0,0.0,1,Clear,sky is clear,10/03/2012 04:00,814,10,3,2012,4
None,41.85,0.0,0.0,1,Clear,sky is clear,10/03/2012 05:00,2718,10,3,2012,5
None,41.14,0.0,0.0,1,Clear,sky is clear,10/03/2012 06:00,5673,10,3,2012,6
None,40.95,0.0,0.0,1,Clear,sky is clear,10/03/2012 08:00,6511,10,3,2012,8
None,48.79,0.0,0.0,1,Clear,sky is clear,10/03/2012 09:00,5471,10,3,2012,9
None,65.88,0.0,0.0,1,Clear,sky is clear,10/03/2012 12:00,5097,10,3,2012,12
